,ids,bday,enrolldate,expgradate,Rank,Major,Gender,Athlete,Height,Weight,Smoking,Sprint,English,Reading,Math,Writing,State,LiveOnCampus,HowCommute,CommuteTime,SleepTime,StudyTime,enrolldate ,Score,BMI
16,49688,1993-01-08,2000-01-01,2000-01-01,unknown,education,Male,0,0.9101777071999999,16.894699623985474,Not a smoker,6.581933155080214,97.23,82.0708,67.72,84.35,In state,on campus,Public Transport,27.0,13.0,7.208651399491094,2000-01-01,331.3708,0.02900682088590549
17,37701,1992-06-02,2000-01-01,2000-01-01,unknown,unknown,Female,1,0.7272204668159999,16.894699623985474,Unknown,6.499,85.71,78.06,66.83,82.99,In state,on campus,Public Transport,27.0,6.0,1.0,2000-01-01,313.59,0.04543811803862244
18,44116,1992-03-16,2000-01-01,2000-01-01,unknown,Exorcise Science,Female,0,0.7978456483999999,17.14186338616227,3.0,6.581933155080214,82.99,74.41,61.4,81.12,In state,on campus,Public Transport,27.0,5.0,15.0,2000-01-01,299.92,0.03830207613809642
19,25871,1991-10-26,2000-01-01,2000-01-01,unknown,saxophone,Male,1,0.783810071098353,13.888567667294584,Not a smoker,4.524,83.95,74.02,74.92,64.06,In state,off campus,car,27.0,4.0,7.208651399491094,2000-01-01,296.95,0.03215420877478535
20,26154,1991-10-22,2000-01-01,2000-01-01,unknown,mathematics,Female,0,0.6774487238399999,12.013676359433083,Not a smoker,6.737,74.88,79.61,51.3,79.64,In state,off campus,walking,21.0,2.0,7.0,2000-01-01,285.43,0.037232750242954325
21,41291,1991-04-21,2000-01-01,2000-01-01,unknown,unknown,Male,1,0.8257270414560001,19.18940521266706,Not a smoker,4.89,84.67,79.64,60.85,76.77,Out of state,off campus,car,24.0,9.0,6.0,2000-01-01,301.93,0.04003045678816149
22,46752,1991-02-13,2000-01-01,2000-01-01,unknown,Education Administration,Female,0,0.713625407392,16.764831983287184,Unknown,7.013,99.51,95.81,68.91,84.19,In state,on campus,Public Transport,27.0,3.0,9.0,2000-01-01,348.42,0.04682315184348827
23,20183,1991-01-03,2000-01-01,2000-01-01,unknown,Creative writing,Male,0,0.771001166656,17.975252105883683,Not a smoker,7.407,83.3,82.98,68.82,75.49,In state,off campus,car,34.0,6.0,5.0,2000-01-01,310.59,0.04300975480264058
24,23643,1990-11-22,2000-01-01,2000-01-01,unknown,unknown,Male,1,0.783810071098353,16.894699623985474,Not a smoker,6.581933155080214,80.86,75.15,75.69,81.12,unknown,off campus,car,33.0,5.0,6.0,2000-01-01,312.82,0.03911387494450937
25,40303,1990-05-02,2000-01-01,2000-01-01,unknown,unknown,Female,0,0.6865505009120001,17.395706310870246,Not a smoker,6.581933155080214,84.67,87.04,73.94,87.61,unknown,off campus,car,20.0,3.0,4.0,2000-01-01,333.26,0.0524927272649957
26,27496,1988-10-06,2000-01-01,2000-01-01,unknown,unknown,Female,0,0.777798696368,23.46273886060026,Not a smoker,7.035,74.85,70.41,65.51,83.06,In state,off campus,Bike,10.0,3.0,11.0,2000-01-01,293.83000000000004,0.055162803774732226
27,26582,2000-01-01,2000-01-01,2000-01-01,unknown,Journalism,Male,1,0.8492303645279999,18.39334633481447,Not a smoker,4.749,85.67,67.62,53.06,77.68,unknown,unknown,Public Transport,27.0,3.0,12.0,2000-01-01,284.03000000000003,0.0362753630062453
28,46919,2000-01-01,2000-01-01,2000-01-01,unknown,unknown,Female,1,0.832524571168,15.495617359747296,Not a smoker,5.381,82.56,77.19,60.73,83.54,In state,off campus,car,21.0,3.0,6.0,2000-01-01,304.02,0.03179924510691126
29,20230,1996-01-02,2014-08-04,2020-05-11,First Pos,pre-pharma,Male,1,0.922966280048,16.894699623985474,Not a smoker,5.203,81.6,75.6,65.36,76.07,In state,on campus,Public Transport,27.0,8.0,3.0,2014-08-04,298.63,0.028208555819217582
30,21083,1995-12-22,2014-08-04,2020-05-11,First Pos,unknown,Female,0,0.83010511144,21.897685240249974,Not a smoker,6.746,78.85,86.92,68.53,71.42,In state,off campus,car,26.0,5.0,3.0,2014-08-04,305.72,0.04519954673315094
31,21939,1995-12-12,2014-08-04,2020-05-11,First Pos,unknown,Male,1,0.7614385401120001,16.894699623985474,Not a smoker,5.326,87.7,81.1,61.61,79.52168316831683,In state,off campus,car,39.0,6.0,5.0,2014-08-04,309.9316831683168,0.041446018076547374
32,23017,1995-11-29,2014-08-04,2020-05-11,First Pos,unknown,Neutral,0,0.826303103296,20.95790647120242,Not a smoker,7.638,76.63,84.19,65.25,72.61,In state,off campus,Bike,8.0,8.0,4.0,2014-08-04,298.68,0.043658737937613865
33,23217,1995-11-26,2014-08-04,2019-05-13,First Pos,Pre Med,Male,0,0.8227315198879999,20.906577938632793,Not a smoker,6.475,75.2,81.54,66.66,85.38,In state,off campus,car,31.0,5.0,5.0,2014-08-04,308.78000000000003,0.04393076102601409
34,23889,1995-11-18,2014-08-04,2019-05-13,First Pos,communication,Male,1,0.8098277346720001,16.377534873898178,Not a smoker,4.593,81.74,86.41,66.21,76.24,In state,on campus,Public Transport,27.0,9.0,8.0,2014-08-04,310.59999999999997,0.03551937271196917
35,24985,1995-11-05,2014-08-04,2019-05-13,First Pos,Biology,Female,0,0.7750335995359999,16.894699623985474, smoker,7.025,82.78755501222494,77.65,56.04,79.52168316831683,In state,on campus,Public Transport,27.0,8.0,11.0,2014-08-04,295.99923818054174,0.04000474076243036
36,25382,1995-10-31,2014-08-04,2020-05-11,First Pos,unknown,Male,1,0.826303103296,15.321100349010557,Not a smoker,4.574,87.54,84.77,69.78,78.52,In state,off campus,car,27.0,5.0,3.0,2014-08-04,320.61,0.03191635128119548
37,25701,1995-10-27,2014-08-04,2019-05-13,First Pos,Chemistry,Female,0,0.718464326848,15.304301920169593,Not a smoker,6.136,83.97,85.85,57.74,83.65,In state,on campus,Public Transport,27.0,6.0,11.0,2014-08-04,311.21000000000004,0.04217015068210778
38,26140,1995-10-21,2014-08-04,2020-05-11,First Pos,Aeronautics (Air Traffic Control),Female,1,0.7951957639359999,18.250559689666233,Not a smoker,4.634,83.15,83.95,77.6,89.07,Out of state,off campus,car,33.0,5.461538461538462,5.0,2014-08-04,333.77,0.0410516028471961
39,29142,1995-09-15,2014-08-04,2020-05-11,First Pos,Soc,Female,0,0.7911633310559999,16.894699623985474,Not a smoker,6.572,89.48,78.0,59.24,81.95,Out of state,on campus,Public Transport,27.0,4.0,0.0,2014-08-04,308.67,0.03839018642033545
40,30056,1995-09-04,2014-08-04,2020-05-11,First Pos,Poli Sci,Male,1,0.8314876598559999,16.416731207860433,3.0,6.581933155080214,81.35,73.57,67.89,69.86,In state,on campus,Public Transport,27.0,7.0,4.0,2014-08-04,292.66999999999996,0.033773581533094815
41,30164,1995-09-03,2014-08-04,2020-05-11,First Pos,unknown,Male,0,0.8016476565439999,17.164261291283562,3.0,6.838,71.07,86.6,63.45,75.72,In state,off campus,car,37.0,7.0,5.0,2014-08-04,296.84,0.037989196625984295
42,30953,1995-08-23,2014-08-04,2020-05-11,First Pos,unknown,Female,0,0.783810071098353,11.10469470992731,Not a smoker,7.875,72.79,71.65,68.83,78.85,In state,on campus,Public Transport,27.0,8.0,11.0,2014-08-04,292.12,0.025709106989058657
43,31227,1995-08-20,2014-08-04,2020-05-11,First Pos,art historyy,Female,0,0.7878221723839999,13.967893581265823,Unknown,7.494,82.28,81.25,61.78,78.66,In state,on campus,Public Transport,27.0,10.0,5.0,2014-08-04,303.97,0.03200932866512267
44,31862,1995-08-14,2014-08-04,2019-05-13,First Pos,unknown,Male,1,0.8439305955999999,16.894699623985474,3.0,5.625,75.44,86.14,59.64,76.88,In state,on campus,Public Transport,27.0,3.0,5.0,2014-08-04,298.09999999999997,0.033739532276240596
45,32521,1995-08-06,2014-08-04,2019-05-13,First Pos,Art history,Male,1,0.8927806396319998,21.50385540853392,Not a smoker,4.979,76.9,85.24,75.94,79.52168316831683,In state,off campus,car,20.0,5.0,6.0,2014-08-04,317.60168316831687,0.03837327362943572
46,33055,1995-07-30,2014-08-04,2019-05-13,First Pos,unknown,Male,1,0.803951903904,16.894699623985474,Not a smoker,4.673,82.78755501222494,74.07,57.48,73.15,In state,on campus,Public Transport,27.0,5.0,5.0,2014-08-04,287.4875550122249,0.037178544670043154
47,33153,1995-07-28,2014-08-04,2019-05-13,First Pos,unknown,Neutral,0,0.7468065693759999,18.640656537195404,Not a smoker,7.181,82.78755501222494,84.98,75.66,87.03,In state,on campus,Public Transport,27.0,5.0,3.0,2014-08-04,330.45755501222493,0.047538666162227815
48,34417,1995-07-12,2014-08-04,2019-05-13,First Pos,unknown,Female,1,0.7781443334720001,16.894699623985474,Not a smoker,5.138,80.95,73.22,61.0,81.69,In state,off campus,car,28.0,7.0,7.208651399491094,2014-08-04,296.86,0.03968553169403295
49,34717,1995-07-10,2014-08-04,2020-05-11,First Pos,unknown,Male,1,0.886789596496,14.71449041864223,Not a smoker,5.887,76.47,80.82,68.19,78.88,In state,on campus,Public Transport,27.0,7.0,1.0,2014-08-04,304.36,0.02661375132041223
50,35023,1995-07-05,2014-08-04,2019-05-13,First Pos,unknown,Female,0,0.719616450528,18.092841107770468,Not a smoker,6.581933155080214,94.43,87.34,79.93,79.63,Out of state,on campus,Public Transport,27.0,6.0,19.0,2014-08-04,341.33000000000004,0.04969430835991198
51,35599,1995-06-28,2014-08-04,2020-05-11,First Pos,unknown,Male,0,0.775264024272,20.435288685038937,3.0,7.323,74.07,73.45,63.54,79.52168316831683,In state,on campus,Public Transport,27.0,5.0,3.0,2014-08-04,290.5816831683168,0.04835969596002741
52,36555,1995-06-18,2014-08-04,2020-05-11,First Pos,unknown,Male,0,0.837478702992,23.667119744832053,Unknown,6.716,70.48,85.48,65.88,71.44,In state,off campus,car,31.0,7.0,7.0,2014-08-04,293.28000000000003,0.04799543271222967
53,38134,1995-05-29,2014-08-04,2019-05-13,First Pos,agricultural studies,Male,1,0.7477282683200001,18.161901315227787,Not a smoker,4.873,84.95,81.01,62.08,71.21,In state,on campus,Public Transport,27.0,6.0,5.0,2014-08-04,299.25,0.04620359400856122
54,38528,1995-05-24,2014-08-04,2019-05-13,First Pos,unknown,Female,0,0.719155601056,11.93528369150856, smoker,7.706,85.24,82.77,82.14,83.03,Out of state,on campus,Public Transport,27.0,2.0,5.0,2014-08-04,333.18,0.032823815188343354
55,38775,1995-05-21,2014-08-04,2019-05-13,First Pos,Finance,Male,1,0.8131688933439999,14.250667133422137,Not a smoker,6.581933155080214,79.64,68.83,47.62,77.11,In state,on campus,Public Transport,27.0,5.0,5.0,2014-08-04,273.2,0.030653193661296943
56,38980,1995-05-19,2014-08-04,2020-05-11,First Pos,bio,Male,0,0.863171061056,15.404159247168687,Not a smoker,8.926,88.44,84.15,78.38,69.52,In state,off campus,car,27.0,6.0,5.0,2014-08-04,320.49,0.029406700836827837
57,39006,1995-05-17,2014-08-04,2019-05-13,First Pos,Theare,Female,1,0.778374758208,14.14147734595584,Not a smoker,6.663,89.49,86.13,65.3,84.68,In state,unknown,Public Transport,27.0,4.0,10.0,2014-08-04,325.6,0.033198567262624
58,39341,1995-05-15,2014-08-04,2019-05-13,First Pos,unknown,Male,1,0.846580480064,19.801614619315714,Not a smoker,5.456,77.64,71.09,66.48,74.43,unknown,on campus,Public Transport,27.0,7.0,7.208651399491094,2014-08-04,289.64,0.0392976110430695
59,39542,1995-05-11,2014-08-04,2020-05-11,First Pos,Engineering,Female,0,0.841741560608,19.90800466864185,Not a smoker,7.93,75.38,76.45,63.7,76.69,In state,on campus,Public Transport,27.0,5.461538461538462,7.208651399491094,2014-08-04,292.21999999999997,0.0399643026528938
60,39715,1995-05-11,2014-08-04,2020-05-11,First Pos,environmental policy,Male,1,0.783810071098353,16.894699623985474,Not a smoker,4.751,82.78755501222494,80.51,70.42,74.57,In state,on campus,Public Transport,27.0,9.0,6.0,2014-08-04,308.28755501222497,0.03911387494450937
61,40161,1995-05-03,2014-08-04,2019-05-13,First Pos,Classics,Female,0,0.705330116896,18.43254266877673,Not a smoker,7.296,87.87,91.89,77.23,86.6,Out of state,on campus,Public Transport,27.0,10.0,1.0,2014-08-04,343.59000000000003,0.05269900779329502
62,40619,1995-04-29,2014-08-04,2020-05-11,First Pos,media literacy,Male,0,0.75694525776,24.999795099548937, smoker,5.537,82.24,93.34,63.28,79.52168316831683,In state,on campus,Public Transport,27.0,4.0,8.0,2014-08-04,318.38168316831684,0.06205968275149484
63,41288,1995-04-22,2014-08-04,2020-05-11,First Pos,unknown,Male,0,0.8022237183839999,16.435396128794846,Unknown,7.848,79.48,101.59,73.49,71.67,Out of state,on campus,Public Transport,27.0,5.0,1.0,2014-08-04,326.23,0.03632379589792946
64,41254,1995-04-20,2014-08-04,2020-05-11,First Pos,ancient studies,Female,0,0.6514107286719999,12.130332115273148,Not a smoker,7.171,85.53,76.35,55.19,84.97,Out of state,on campus,Public Transport,27.0,4.0,15.0,2014-08-04,302.03999999999996,0.04065977062609039
65,42023,1995-04-10,2014-08-04,2020-05-11,First Pos,unknown,Female,0,0.7330962975840001,11.817694689621778,Not a smoker,7.701,72.31,89.03,78.04,72.55,Out of state,off campus,car,33.0,8.0,1.0,2014-08-04,311.93,0.03127611205250652
66,42630,1995-04-05,2014-08-04,2019-05-13,First Pos,unknown,Male,0,0.9725075982879998,32.670144357544785,Not a smoker,6.646,71.29,83.84,68.85,76.56,In state,on campus,Public Transport,27.0,2.0,4.0,2014-08-04,300.54,0.04913229989282459
67,42850,1995-04-02,2014-08-04,2019-05-13,First Pos,Higher Ed,Male,0,0.723994520512,10.823787649864439,Unknown,7.817,60.96,69.87,58.97,71.56,In state,on campus,Public Transport,27.0,1.0,4.0,2014-08-04,261.36,0.029370460215207117
68,42769,1995-04-01,2014-08-04,2019-05-13,First Pos,Psych,Female,0,0.6930023935199999,13.250227371337758, smoker,6.581933155080214,75.07,72.17,49.4,75.89,In state,on campus,Public Transport,27.0,8.0,2.0,2014-08-04,272.53,0.03924243146636042
69,43221,1995-03-26,2014-08-04,2020-05-11,First Pos,unknown,Female,1,0.762360239056,16.894699623985474,Not a smoker,6.581933155080214,76.23,79.79,64.83,83.58,In state,on campus,Public Transport,27.0,5.0,4.0,2014-08-04,304.43,0.04134586159763203
70,44088,1995-03-18,2014-08-04,2019-05-13,First Pos,Music Education,Male,1,0.874577085488,16.894699623985474,Not a smoker,4.566,85.34,81.42,73.51,74.0,In state,on campus,Public Transport,27.0,8.0,10.0,2014-08-04,314.27,0.031416393861525546
71,44413,1995-03-12,2014-08-04,2020-05-11,First Pos,Pre-med,Female,0,0.799919471024,19.385386882478368,Not a smoker,8.157,86.85,91.25,76.93,84.01,In state,off campus,car,30.0,5.0,9.0,2014-08-04,339.03999999999996,0.043090743084845375
72,44517,1995-03-11,2014-08-04,2020-05-11,First Pos,Environmental Science,Female,1,0.7612081153759999,12.785470840070943,Not a smoker,6.826,69.81,70.58,35.32,70.73,In state,on campus,Public Transport,27.0,5.0,7.208651399491094,2014-08-04,246.44,0.03138426437426226
73,46221,1995-02-20,2014-08-04,2020-05-11,First Pos,liberal Studies,Male,1,0.763742787472,14.353324198561399,Not a smoker,4.681,82.49,82.01,62.99,75.64,In state,on campus,Public Transport,27.0,3.0,6.0,2014-08-04,303.13,0.03499937567758666
74,47050,1995-02-06,2014-08-04,2020-05-11,First Pos,psycho,Female,0,0.724570582352,14.824613452155253,Unknown,7.256,84.3,78.72,72.52,80.03,In state,off campus,car,32.0,3.0,12.0,2014-08-04,315.57,0.040162804358396226
75,47887,1995-01-28,2014-08-04,2020-05-11,First Pos,photograPhy,Female,1,0.783810071098353,14.182540172011542,Not a smoker,5.527,86.59,79.22,57.58,70.89,In state,on campus,Public Transport,27.0,4.0,3.0,2014-08-04,294.28,0.032834801152426624
76,48361,1995-01-25,2014-08-04,2019-05-13,First Pos,sport and exercise science,Male,0,0.9646731572639999,19.27619709501207,Not a smoker,7.817,95.23,76.72,69.7,82.44,In state,on campus,Public Transport,27.0,5.0,6.0,2014-08-04,324.09000000000003,0.029462053709259726
77,49213,1995-01-16,2014-08-04,2020-05-11,First Pos,Geograph,Male,1,0.8562583189759998,15.39016055646788,Not a smoker,5.685,89.3,90.92,66.46,82.21,In state,on campus,Public Transport,27.0,2.0,6.0,2014-08-04,328.89,0.029856272761085514
78,49326,1995-01-14,2014-08-04,2019-05-13,First Pos,unknown,Male,0,0.8393221008799999,18.174033513835152,Not a smoker,7.812,69.48,79.78,54.69,69.38,In state,on campus,Public Transport,27.0,5.0,6.0,2014-08-04,273.33,0.03669408422360705
79,49155,1995-01-13,2014-08-04,2020-05-11,First Pos,English,Female,0,0.7166209289600001,17.436769136925953,Not a smoker,6.735,77.17,55.11,40.38,80.62,In state,on campus,Public Transport,27.0,8.0,3.0,2014-08-04,253.28000000000003,0.0482935453520952
80,20531,1994-12-29,2014-08-04,2019-05-13,First Pos,unknown,Male,1,0.783810071098353,24.412783336161738,Not a smoker,4.503,93.69,87.7,76.35,79.08,In state,on campus,Public Transport,27.0,4.0,1.0,2014-08-04,336.82,0.05651941589434283
81,20615,1994-12-28,2014-08-04,2020-05-11,First Pos,photography,Female,0,0.76501012352,15.638404004895532,Not a smoker,6.581933155080214,85.44,85.49,69.92,84.34,In state,on campus,Public Transport,27.0,7.0,6.0,2014-08-04,325.19,0.03800669545652489
82,21492,1994-12-17,2014-08-04,2020-05-11,First Pos,Art Education,Female,1,0.735976606784,15.084055853143553,Not a smoker,4.644,81.83,74.06,71.23,82.36,In state,on campus,Public Transport,27.0,5.0,4.0,2014-08-04,309.48,0.03960884313065081
83,22069,1994-12-10,2014-08-04,2020-05-11,First Pos,unknown,Male,0,0.8360961545759998,20.99057008283764,Not a smoker,7.135,83.19,89.74,72.56,76.63,unknown,on campus,Public Transport,27.0,3.0,7.0,2014-08-04,322.12,0.04270845183210278
84,22567,1994-12-04,2014-08-04,2019-05-13,First Pos,sports medicine,Female,1,0.742313287024,18.10590655242455,Not a smoker,4.819,80.07,103.62,79.17,75.56,In state,on campus,Public Transport,27.0,7.0,7.208651399491094,2014-08-04,338.42,0.04673560326736331
85,23767,1994-11-20,2014-08-04,2020-05-11,First Pos,French,Male,1,0.7698490429759999,15.543212908130043,Not a smoker,5.654,77.42,79.14,60.06,76.25,In state,unknown,Public Transport,27.0,4.0,11.0,2014-08-04,292.87,0.03730196363986896
86,23937,1994-11-17,2014-08-04,2019-05-13,First Pos,Theatre,Female,0,0.7211142113119999,13.051445963386287,Unknown,8.865,83.79,87.48,57.57,81.66,In state,unknown,Public Transport,27.0,4.0,8.0,2014-08-04,310.5,0.03569871367974963
87,24153,1994-11-15,2014-08-04,2019-05-13,First Pos,Education - Science,Female,0,0.715699230016,9.937203905479956,Unknown,8.48,81.0,70.87,48.06,88.89,Out of state,unknown,car,23.0,7.0,4.0,2014-08-04,288.82,0.02759339566275771
88,24202,1994-11-14,2014-08-04,2019-05-13,First Pos,unknown,Female,0,0.66131899232,15.3546972066925,3.0,6.839,79.0,78.47,59.89,79.02,Out of state,on campus,Public Transport,27.0,8.0,4.0,2014-08-04,296.38,0.04993686945331375
89,24556,1994-11-10,2014-08-04,2020-05-11,First Pos,finance,Female,0,0.783810071098353,16.839491667024827,Not a smoker,6.259,84.09,69.8,65.46800947867298,79.52168316831683,In state,on campus,Public Transport,27.0,8.0,1.0,2014-08-04,298.87969264698984,0.03898605987987011
90,24656,1994-11-09,2014-08-04,2019-05-13,First Pos,interior design,Female,0,0.773190201648,16.894699623985474,Not a smoker,8.224,81.68,88.16,70.56,72.53,In state,on campus,Public Transport,27.0,6.0,3.0,2014-08-04,312.93,0.04019572239531927
91,25740,1994-10-26,2014-08-04,2020-05-11,First Pos,unknown,Female,0,0.771577228496,14.447582049280168,Not a smoker,8.285,82.56,89.88,81.44,79.52168316831683,In state,off campus,car,28.0,4.0,3.0,2014-08-04,333.4016831683168,0.034517426818919124
92,26435,1994-10-18,2014-08-04,2019-05-13,First Pos,unknown,Female,0,0.670305557024,15.160582028974632,Unknown,5.513,77.97,89.03,79.61,92.3,In state,on campus,Public Transport,27.0,3.0,5.0,2014-08-04,338.90999999999997,0.04799237935965491
93,26707,1994-10-15,2014-08-04,2020-05-11,First Pos,Applied Math,Male,0,0.897619559088,16.101294044068904,Not a smoker,8.991,83.82,87.67,70.43,74.04,Out of state,off campus,car,23.0,5.0,3.0,2014-08-04,315.96000000000004,0.028423543115490182
94,26691,1994-10-15,2014-08-04,2019-05-13,First Pos,unknown,Female,1,0.7363222438879999,13.950161906378137,Not a smoker,4.895,85.27,77.75,69.3,75.6,Out of state,off campus,car,34.0,5.461538461538462,20.0,2014-08-04,307.91999999999996,0.03659699730793683
95,27539,1994-10-04,2014-08-04,2019-05-13,First Pos,Graphic Design,Female,0,0.859138628176,24.89713803440968,Not a smoker,6.55,85.43,87.7,70.57,77.46,In state,on campus,Public Transport,27.0,11.0,1.0,2014-08-04,321.15999999999997,0.047976104526260784
96,49947,1994-09-12,2014-08-04,2019-05-13,First Pos,marketting,Female,1,0.7871308981759998,14.982332034051018,Not a smoker,5.503,71.12,56.53,55.43,73.56,In state,on campus,Public Transport,27.0,7.0,9.0,2014-08-04,256.64,0.03439438460146219
97,29516,1994-09-10,2014-08-04,2019-05-13,First Pos,unknown,Female,0,0.7256074936639999,16.894699623985474,Unknown,6.581933155080214,83.57,84.35,74.31,80.7,In state,unknown,Public Transport,27.0,5.461538461538462,7.208651399491094,2014-08-04,322.93,0.04564035388878669
98,30826,1994-08-25,2014-08-04,2019-05-13,First Pos,unknown,Female,1,0.756023558816,14.83487915866918,Not a smoker,6.581933155080214,86.02,79.63,74.44,83.52,In state,off campus,Public Transport,53.0,5.0,2.0,2014-08-04,323.60999999999996,0.03691606500014259
99,30989,1994-08-23,2014-08-04,2020-05-11,First Pos,Undecided,Female,1,0.7494564538399999,14.355190690654837,Not a smoker,6.581933155080214,90.44,87.64,82.37,79.52168316831683,unknown,off campus,car,36.0,5.0,1.0,2014-08-04,339.9716831683168,0.0363511542294965
100,32304,1994-08-07,2014-08-04,2020-05-11,First Pos,Aerospace engineering,Female,1,0.7746879624319999,14.669694608399647,Not a smoker,5.404,82.77,73.27,55.81,79.15,In state,on campus,Public Transport,27.0,5.461538461538462,2.0,2014-08-04,291.0,0.03476718307033044
101,32895,1994-08-01,2014-08-04,2020-05-11,First Pos,unknown,Male,0,0.7114363723999999,16.894699623985474,Not a smoker,7.435,82.78755501222494,76.19,70.84,82.31,In state,on campus,Public Transport,27.0,6.0,13.0,2014-08-04,312.12755501222495,0.04747668551169465
102,34033,1994-07-17,2014-08-04,2020-05-11,First Pos,Journalism,Female,0,0.7309072625919999,13.151303290385382,Unknown,6.428,84.34,82.0708,68.01,84.32,In state,on campus,Public Transport,27.0,9.0,1.0,2014-08-04,318.74080000000004,0.035014367519070555
103,34800,1994-07-07,2014-08-04,2020-05-11,First Pos,Math and computer science,Female,1,0.788283021856,15.75879274492248,Unknown,6.581933155080214,74.74,73.12,54.49,78.87,Out of state,on campus,Public Transport,27.0,5.461538461538462,3.0,2014-08-04,281.22,0.03607120454923555
104,34919,1994-07-07,2014-08-04,2020-05-11,First Pos,biologie,Male,0,0.84508271928,16.894699623985474, smoker,6.581933155080214,59.83,74.71,55.54,74.97,In state,on campus,Public Transport,27.0,6.0,7.0,2014-08-04,265.05,0.03364759898850581
